date,month#,DofM,day,week,month,mmm-yy,quarter,year
12/3/2017,12,3,Sun,49,Dec,17-Dec,Q4,2017
12/4/2017,12,4,Mon,49,Dec,17-Dec,Q4,2017
12/5/2017,12,5,Tue,49,Dec,17-Dec,Q4,2017
12/6/2017,12,6,Wed,49,Dec,17-Dec,Q4,2017
12/7/2017,12,7,Thu,49,Dec,17-Dec,Q4,2017
12/8/2017,12,8,Fri,49,Dec,17-Dec,Q4,2017
12/9/2017,12,9,Sat,49,Dec,17-Dec,Q4,2017
12/10/2017,12,10,Sun,50,Dec,17-Dec,Q4,2017
12/11/2017,12,11,Mon,50,Dec,17-Dec,Q4,2017
12/12/2017,12,12,Tue,50,Dec,17-Dec,Q4,2017
12/13/2017,12,13,Wed,50,Dec,17-Dec,Q4,2017
12/14/2017,12,14,Thu,50,Dec,17-Dec,Q4,2017
12/15/2017,12,15,Fri,50,Dec,17-Dec,Q4,2017
12/16/2017,12,16,Sat,50,Dec,17-Dec,Q4,2017
12/17/2017,12,17,Sun,51,Dec,17-Dec,Q4,2017
12/18/2017,12,18,Mon,51,Dec,17-Dec,Q4,2017
12/19/2017,12,19,Tue,51,Dec,17-Dec,Q4,2017
12/20/2017,12,20,Wed,51,Dec,17-Dec,Q4,2017
12/21/2017,12,21,Thu,51,Dec,17-Dec,Q4,2017
12/22/2017,12,22,Fri,51,Dec,17-Dec,Q4,2017
12/23/2017,12,23,Sat,51,Dec,17-Dec,Q4,2017
12/24/2017,12,24,Sun,52,Dec,17-Dec,Q4,2017
12/25/2017,12,25,Mon,52,Dec,17-Dec,Q4,2017
12/26/2017,12,26,Tue,52,Dec,17-Dec,Q4,2017
12/27/2017,12,27,Wed,52,Dec,17-Dec,Q4,2017
12/28/2017,12,28,Thu,52,Dec,17-Dec,Q4,2017
12/29/2017,12,29,Fri,52,Dec,17-Dec,Q4,2017
12/30/2017,12,30,Sat,52,Dec,17-Dec,Q4,2017
12/31/2017,12,31,Sun,53,Dec,17-Dec,Q4,2017
1/1/2018,1,1,Mon,1,Jan,18-Jan,Q1,2018
1/2/2018,1,2,Tue,1,Jan,18-Jan,Q1,2018
1/3/2018,1,3,Wed,1,Jan,18-Jan,Q1,2018
1/4/2018,1,4,Thu,1,Jan,18-Jan,Q1,2018
1/5/2018,1,5,Fri,1,Jan,18-Jan,Q1,2018
1/6/2018,1,6,Sat,1,Jan,18-Jan,Q1,2018
1/7/2018,1,7,Sun,2,Jan,18-Jan,Q1,2018
1/8/2018,1,8,Mon,2,Jan,18-Jan,Q1,2018
1/9/2018,1,9,Tue,2,Jan,18-Jan,Q1,2018
1/10/2018,1,10,Wed,2,Jan,18-Jan,Q1,2018
1/11/2018,1,11,Thu,2,Jan,18-Jan,Q1,2018
1/12/2018,1,12,Fri,2,Jan,18-Jan,Q1,2018
1/13/2018,1,13,Sat,2,Jan,18-Jan,Q1,2018
1/14/2018,1,14,Sun,3,Jan,18-Jan,Q1,2018
1/15/2018,1,15,Mon,3,Jan,18-Jan,Q1,2018
1/16/2018,1,16,Tue,3,Jan,18-Jan,Q1,2018
1/17/2018,1,17,Wed,3,Jan,18-Jan,Q1,2018
1/18/2018,1,18,Thu,3,Jan,18-Jan,Q1,2018
1/19/2018,1,19,Fri,3,Jan,18-Jan,Q1,2018
1/20/2018,1,20,Sat,3,Jan,18-Jan,Q1,2018
1/21/2018,1,21,Sun,4,Jan,18-Jan,Q1,2018
1/22/2018,1,22,Mon,4,Jan,18-Jan,Q1,2018
1/23/2018,1,23,Tue,4,Jan,18-Jan,Q1,2018
1/24/2018,1,24,Wed,4,Jan,18-Jan,Q1,2018
1/25/2018,1,25,Thu,4,Jan,18-Jan,Q1,2018
1/26/2018,1,26,Fri,4,Jan,18-Jan,Q1,2018
1/27/2018,1,27,Sat,4,Jan,18-Jan,Q1,2018
1/28/2018,1,28,Sun,5,Jan,18-Jan,Q1,2018
1/29/2018,1,29,Mon,5,Jan,18-Jan,Q1,2018
1/30/2018,1,30,Tue,5,Jan,18-Jan,Q1,2018
1/31/2018,1,31,Wed,5,Jan,18-Jan,Q1,2018
2/1/2018,2,1,Thu,5,Feb,18-Feb,Q1,2018
2/2/2018,2,2,Fri,5,Feb,18-Feb,Q1,2018
2/3/2018,2,3,Sat,5,Feb,18-Feb,Q1,2018
2/4/2018,2,4,Sun,6,Feb,18-Feb,Q1,2018
2/5/2018,2,5,Mon,6,Feb,18-Feb,Q1,2018
2/6/2018,2,6,Tue,6,Feb,18-Feb,Q1,2018
2/7/2018,2,7,Wed,6,Feb,18-Feb,Q1,2018
2/8/2018,2,8,Thu,6,Feb,18-Feb,Q1,2018
2/9/2018,2,9,Fri,6,Feb,18-Feb,Q1,2018
2/10/2018,2,10,Sat,6,Feb,18-Feb,Q1,2018
2/11/2018,2,11,Sun,7,Feb,18-Feb,Q1,2018
2/12/2018,2,12,Mon,7,Feb,18-Feb,Q1,2018
2/13/2018,2,13,Tue,7,Feb,18-Feb,Q1,2018
2/14/2018,2,14,Wed,7,Feb,18-Feb,Q1,2018
